row_index,page,hanzi,wupin_original,wupin_canonical_source,ipa_from_wupin,wupin_back,issue_type,forward_status,backward_status
36,124,鱼厣云,yu11ieen55yoen52,yu11ieen55yoen52,ɦy11<ieen55>ɦiø̃52,yu11ieen55yoen52,forward_error;backward_error,unknown_final:ieen:ieen,unknown_ipa:<;unknown_ipa:e;unknown_ipa:e;unknown_ipa:>
303,134,乌焦毛头臭,u33ciau55mhau55deu55tsheu33,u33ciau55mhau55deu55tsheu33,u33tɕiɒ55<mhau55>dɤ55tsʰɤ33,u33ciau55mhau55deu55tsheu33,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
517,142,马熊,mha33yon52,mha33yon52,<mha33>ɦioŋ52,mha33yon52,forward_error;backward_error,unknown_final:ha:mha,unknown_ipa:<;unknown_ipa:>
627,145,毛大蟹,mhau33da55ha52,mhau33da55ha52,<mhau33>da55ha52,mhau33da55ha52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
676,147,知了,tsy33iiau55,tsy33iiau55,tsɿ33<iiau55>,tsy33iiau55,forward_error;backward_error,unknown_final:iiau:iiau,unknown_ipa:<;unknown_ipa:>
684,147,毛蝴蝶,mhau33wu55diaq54,mhau33wu55diaq54,<mhau33>ɦu55diaʔ54,mhau33wu55diaq54,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
685,147,杨痢毛,lian11li55mhau52,lian11li55mhau52,liaŋ11li55<mhau52>,lian11li55mhau52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
745,149,马,mha52,mha52,<mha52>,mha52,forward_error;backward_error,unknown_final:ha:mha,unknown_ipa:<;unknown_ipa:>
746,149,雄马,yon11mha52,yon11mha52,ɦioŋ11<mha52>,yon11mha52,forward_error;backward_error,unknown_final:ha:mha,unknown_ipa:<;unknown_ipa:>
747,149,雌马,tshy33mha52,tshy33mha52,tsʰɿ33<mha52>,tshy33mha52,forward_error;backward_error,unknown_final:ha:mha,unknown_ipa:<;unknown_ipa:>
748,149,小马,shiau335mha52,shiau335mha52,ɕiɒ335<mha52>,shiau335mha52,forward_error;backward_error,unknown_final:ha:mha,unknown_ipa:<;unknown_ipa:>
754,149,肉猪,gnio11tsy11,gnio11tsy11,ȵiɒ11tsɿ11,gniau11tsy11,roundtrip_mismatch,ok,ok
755,149,肉肉,gnio11gnio11,gnio11gnio11,ȵiɒ11ȵiɒ11,gniau11gniau11,roundtrip_mismatch,ok,ok
757,150,雄肉猪,yon11gnio55tsy52,yon11gnio55tsy52,ɦioŋ11ȵiɒ55tsɿ52,yon11gniau55tsy52,roundtrip_mismatch,ok,ok
812,151,黄毛小鹅,huaon33mhau55shiau55ngo52,huaon33mhau55shiau55ngo52,huɒŋ33<mhau55>ɕiɒ55ŋo52,huaon33mhau55shiau55ngo52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
826,152,毛毛,mhau33mhau52,mhau33mhau52,<mhau33><mhau52>,mhau33mhau52,forward_error;backward_error,unknown_final:hau:mhau;unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>;unknown_ipa:<;unknown_ipa:>
827,152,毛,mhau52,mhau52,<mhau52>,mhau52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
828,152,雉鸡毛,dzy115ci55mhau52,dzy115ci55mhau52,dzɿ115tɕi55<mhau52>,dzy115ci55mhau52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
877,154,毛竹,mhau33tsoq5,mhau33tsoq5,<mhau33>tsoʔ5,mhau33tsoq5,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
885,154,毛笋,mhau33seen55,mhau33seen55,<mhau33>sẽ55,mhau33seen55,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
889,154,马鞭笋,mha33pien55seen52,mha33pien55seen52,<mha33>piẽ55sẽ52,mha33pien55seen52,forward_error;backward_error,unknown_final:ha:mha,unknown_ipa:<;unknown_ipa:>
936,156,拉拉藤,iha33iha55deon52,iha33iha55deon52,<iha33><iha55>dəŋ52,iha33iha55deon52,forward_error;backward_error,unknown_final:iha:iha;unknown_final:iha:iha,unknown_ipa:<;unknown_ipa:>;unknown_ipa:<;unknown_ipa:>
945,156,酸妹妹,soen33mhe55mhe52,soen33mhe55mhe52,sø̃33<mhe55><mhe52>,soen33mhe55mhe52,forward_error;backward_error,unknown_final:he:mhe;unknown_final:he:mhe,unknown_ipa:<;unknown_ipa:e;unknown_ipa:>;unknown_ipa:<;unknown_ipa:e;unknown_ipa:>
955,156,白毛夏枯草,baq1mhau55gho55khu55tshau52,baq1mhau55gho55khu55tshau52,baʔ1<mhau55>ɦo55kʰu55tsʰɒ52,baq1mhau55gho55khu55tshau52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
1022,158,毛豆,mhau33deu55,mhau33deu55,<mhau33>dɤ55,mhau33deu55,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
1063,160,闷糠,mheen33khaon52,mheen33khaon52,<mheen33>kʰɒŋ52,mheen33khaon52,forward_error;backward_error,unknown_final:heen:mheen,unknown_ipa:<;unknown_ipa:e;unknown_ipa:e;unknown_ipa:>
1076,160,鸡毛菜,ci33mhau55tshe52,ci33mhau55tshe52,tɕi33<mhau55>tsʰᴇ52,ci33mhau55tshe52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
1094,161,马兰头,mha33laen55deu52,mha33laen55deu52,<mha33>læ̃55dɤ52,mha33laen55deu52,forward_error;backward_error,unknown_final:ha:mha,unknown_ipa:<;unknown_ipa:>
1107,161,芥拉头,ka33iha33deu33,ka33iha33deu33,ka33<iha33>dɤ33,ka33iha33deu33,forward_error;backward_error,unknown_final:iha:iha,unknown_ipa:<;unknown_ipa:>
1207,165,零食,ihin33zeoq5,ihin33zeoq5,<ihin33>zəʔ5,ihin33zeoq5,forward_error;backward_error,unknown_final:ihin:ihin,unknown_ipa:<;unknown_ipa:>
1244,166,肉,gnio11,gnio11,ȵiɒ11,gniau11,roundtrip_mismatch,ok,ok
1248,166,牛肉,gnieu11gnio55,gnieu11gnio55,ȵiɤ11ȵiɒ55,gnieu11gniau55,roundtrip_mismatch,ok,ok
1249,166,羊肉,yan11gnio55,yan11gnio55,ɦiaŋ11ȵiɒ55,yan11gniau55,roundtrip_mismatch,ok,ok
1252,166,猪头肉,tsy33deu55gnio52,tsy33deu55gnio52,tsɿ33dɤ55ȵiɒ52,tsy33deu55gniau52,roundtrip_mismatch,ok,ok
1254,166,栗子肉,liq1tsy55gnio52,liq1tsy55gnio52,lieʔ1tsɿ55ȵiɒ52,liq1tsy55gniau52,roundtrip_mismatch,ok,ok
1255,166,槽头肉,za11deu55gnio52,za11deu55gnio52,za11dɤ55ȵiɒ52,za11deu55gniau52,roundtrip_mismatch,ok,ok
1271,167,五花肉,wu115huo55gnio52,wu115huo55gnio52,ɦu115huo55ȵiɒ52,wu115huo55gniau52,roundtrip_mismatch,ok,ok
1272,167,瞪脯肉,teon33bu33gnio33,teon33bu33gnio33,təŋ33bu33ȵiɒ33,teon33bu33gniau33,roundtrip_mismatch,ok,ok
1277,167,咸肉,ghaen11gnio55,ghaen11gnio55,ɦæ̃11ȵiɒ55,ghaen11gniau55,roundtrip_mismatch,ok,ok
1278,167,腊肉,laeq1gnio55,laeq1gnio55,læʔ1ȵiɒ55,laeq1gniau55,roundtrip_mismatch,ok,ok
1373,170,冻肉,ton33gnio55,ton33gnio55,toŋ33ȵiɒ55,ton33gniau55,roundtrip_mismatch,ok,ok
1374,170,扎肉,tsaq3gnio55,tsaq3gnio55,tsaʔ3ȵiɒ55,tsaq3gniau55,roundtrip_mismatch,ok,ok
1378,170,烹炒猪肉,pheen33tshau55tsy55gnio52,pheen33tshau55tsy55gnio52,pʰẽ33tsʰɒ55tsɿ55ȵiɒ52,pheen33tshau55tsy55gniau52,roundtrip_mismatch,ok,ok
1380,170,烹炒猪肉,pheen33tshau55tsy55gnio52,pheen33tshau55tsy55gnio52,pʰẽ33tsʰɒ55tsɿ55ȵiɒ52,pheen33tshau55tsy55gniau52,roundtrip_mismatch,ok,ok
1389,170,霉干菜语肉,me11keen55tshe55gniu55gnio52,me11keen55tshe55gniu55gnio52,mᴇ11kẽ55tsʰᴇ55ȵy55ȵiɒ52,me11keen55tshe55gniu55gniau52,roundtrip_mismatch,ok,ok
1408,171,末,mheq45,mheq45,<mheq45>,mheq45,forward_error;backward_error,unknown_final:heq:mheq,unknown_ipa:<;unknown_ipa:e;unknown_ipa:q;unknown_ipa:>
1450,172,桂圆肉,kue33yoen33gnio33,kue33yoen33gnio33,kuᴇ33ɦiø̃33ȵiɒ33,kue33yoen33gniau33,roundtrip_mismatch,ok,ok
1452,172,胡桃肉,lu11dau55gnio52,lu11dau55gnio52,lu11dɒ55ȵiɒ52,lu11dau55gniau52,roundtrip_mismatch,ok,ok
1453,172,小胡桃肉,shiau335lu55dau55gnio52,shiau335lu55dau55gnio52,ɕiɒ335lu55dɒ55ȵiɒ52,shiau335lu55dau55gniau52,roundtrip_mismatch,ok,ok
1568,176,毛货,mhau33hu55,mhau33hu55,<mhau33>hu55,mhau33hu55,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
1569,176,毛线,mhau33shien55,mhau33shien55,<mhau33>ɕiẽ55,mhau33shien55,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
1579,176,零头布,ihin33deu55pu52,ihin33deu55pu52,<ihin33>dɤ55pu52,ihin33deu55pu52,forward_error;backward_error,unknown_final:ihin:ihin,unknown_ipa:<;unknown_ipa:>
1605,177,棉毛衫,mien11mhau55saen52,mien11mhau55saen52,miẽ11<mhau55>sæ̃52,mien11mhau55saen52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
1608,177,棉毛裤,mien11mhau55khu52,mien11mhau55khu52,miẽ11<mhau55>kʰu52,mien11mhau55khu52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
1612,178,毛线衫,mhau33shien55saen52,mhau33shien55saen52,<mhau33>ɕiẽ55sæ̃52,mhau33shien55saen52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
1613,178,毛线裤,mhau33shien55khu52,mhau33shien55khu52,<mhau33>ɕiẽ55kʰu52,mhau33shien55khu52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
1617,178,马甲,mha33ciaq5,mha33ciaq5,<mha33>tɕiaʔ5,mha33ciaq5,forward_error;backward_error,unknown_final:ha:mha,unknown_ipa:<;unknown_ipa:>
1636,178,马褂,mha33kuo55,mha33kuo55,<mha33>kuo55,mha33kuo55,forward_error;backward_error,unknown_final:ha:mha,unknown_ipa:<;unknown_ipa:>
1691,180,拦馋,ihaen33daen52,ihaen33daen52,<ihaen33>dæ̃52,ihaen33daen52,forward_error;backward_error,unknown_final:ihaen:ihaen,unknown_ipa:<;unknown_ipa:e;unknown_ipa:>
1692,180,拦馋袋,ihaen33daen55de52,ihaen33daen55de52,<ihaen33>dæ̃55dᴇ52,ihaen33daen55de52,forward_error;backward_error,unknown_final:ihaen:ihaen,unknown_ipa:<;unknown_ipa:e;unknown_ipa:>
1799,184,毛墙,mhau33jian52,mhau33jian52,<mhau33>dʑiaŋ52,mhau33jian52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
1841,185,標条,pips11tiau52,pips11tiau52,<pips11>tiɒ52,pips11tiau52,forward_error;backward_error,unknown_final:ips:pips,unknown_ipa:<;unknown_ipa:>
1879,186,烟肉,ien33gnio55,ien33gnio55,iẽ33ȵiɒ55,ien33gniau55,roundtrip_mismatch,ok,ok
1924,189,马踏椅,mha33daeq5i52,mha33daeq5i52,<mha33>dæʔ5i52,mha33daeq5i52,forward_error;backward_error,unknown_final:ha:mha,unknown_ipa:<;unknown_ipa:>
1925,189,马踏椅子,mha33daeq5i55tsy52,mha33daeq5i55tsy52,<mha33>dæʔ5i55tsɿ52,mha33daeq5i55tsy52,forward_error;backward_error,unknown_final:ha:mha,unknown_ipa:<;unknown_ipa:>
1939,189,马扎,mha33tsaq5,mha33tsaq5,<mha33>tsaʔ5,mha33tsaq5,forward_error;backward_error,unknown_final:ha:mha,unknown_ipa:<;unknown_ipa:>
1978,191,马桶箱,mha33don55shian52,mha33don55shian52,<mha33>doŋ55ɕiaŋ52,mha33don55shian52,forward_error;backward_error,unknown_final:ha:mha,unknown_ipa:<;unknown_ipa:>
2082,194,撩兜,ihiau33teu52,ihiau33teu52,<ihiau33>tɤ52,ihiau33teu52,forward_error;backward_error,unknown_final:ihiau:ihiau,unknown_ipa:<;unknown_ipa:>
2122,195,闷盖碗,mheen33ke55uoen52,mheen33ke55uoen52,<mheen33>kᴇ55uø̃52,mheen33ke55uoen52,forward_error;backward_error,unknown_final:heen:mheen,unknown_ipa:<;unknown_ipa:e;unknown_ipa:e;unknown_ipa:>
2165,197,松毛柴,son33mhau55za52,son33mhau55za52,soŋ33<mhau55>za52,son33mhau55za52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
2195,198,马灯,mha33teon52,mha33teon52,<mha33>təŋ52,mha33teon52,forward_error;backward_error,unknown_final:ha:mha,unknown_ipa:<;unknown_ipa:>
2223,199,毛巾,mhau33cin52,mhau33cin52,<mhau33>tɕiŋ52,mhau33cin52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
2266,200,鸡毛帚,ci33mhau55tseu52,ci33mhau55tseu52,tɕi33<mhau55>tsɤ52,ci33mhau55tseu52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
2267,200,鸡毛掸子,ci33mhau55taen55tsy52,ci33mhau55taen55tsy52,tɕi33<mhau55>tæ̃55tsɿ52,ci33mhau55taen55tsy52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
2278,200,毛纸,mhau33tsy55,mhau33tsy55,<mhau33>tsɿ55,mhau33tsy55,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
2282,201,马桶,mha33don55,mha33don55,<mha33>doŋ55,mha33don55,forward_error;backward_error,unknown_final:ha:mha,unknown_ipa:<;unknown_ipa:>
2366,203,眉毛钳,mi11mhau55geen52,mi11mhau55geen52,mi11<mhau55>ɡẽ52,mi11mhau55geen52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
2470,207,马达,mha33daeq5,mha33daeq5,<mha33>dæʔ5,mha33daeq5,forward_error;backward_error,unknown_final:ha:mha,unknown_ipa:<;unknown_ipa:>
2542,209,肉里眼,gnio11li11ngaen11,gnio11li11ngaen11,ȵiɒ11li11ŋæ̃11,gniau11li11ngaen11,roundtrip_mismatch,ok,ok
2543,209,毛,mhau52,mhau52,<mhau52>,mhau52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
2562,210,胎毛,the33mhau52,the33mhau52,tʰᴇ33<mhau52>,the33mhau52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
2596,211,眼毛,ngaen115mhau52,ngaen115mhau52,ŋæ̃115<mhau52>,ngaen115mhau52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
2597,211,睫毛,jiq1mhau52,jiq1mhau52,dʑieʔ1<mhau52>,jiq1mhau52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
2598,211,眉毛,mi11mhau52,mi11mhau52,mi11<mhau52>,mi11mhau52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
2635,212,牙床肉,ngo11zaon55gnio52,ngo11zaon55gnio52,ŋo11zɒŋ55ȵiɒ52,ngo11zaon55gniau52,roundtrip_mismatch,ok,ok
2673,214,屁股肉,phi33ku33gnio33,phi33ku33gnio33,pʰi33ku33ȵiɒ33,phi33ku33gniau33,roundtrip_mismatch,ok,ok
2745,216,肉,gnio11,gnio11,ȵiɒ11,gniau11,roundtrip_mismatch,ok,ok
2752,216,寒毛,gheen11mhau52,gheen11mhau52,ɦẽ11<mhau52>,gheen11mhau52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
2753,216,寒毛管,gheen11mhau55kuoen52,gheen11mhau55kuoen52,ɦẽ11<mhau55>kuø̃52,gheen11mhau55kuoen52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
2754,216,寒毛孔,gheen11mhau55khuon52,gheen11mhau55khuon52,ɦẽ11<mhau55>kʰuoŋ52,gheen11mhau55khuon52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
2811,218,毛病,mhau33bin55,mhau33bin55,<mhau33>biŋ55,mhau33bin55,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
2938,222,新肉,shin33gnio55,shin33gnio55,ɕiŋ33ȵiɒ55,shin33gniau55,roundtrip_mismatch,ok,ok
2954,223,膏药黏,kau33yaq5gnhien52,kau33yaq5gnhien52,kɒ33ɦiaʔ5<gnhien52>,kau33yaq5gnhien52,forward_error;backward_error,unknown_final:hien:gnhien,unknown_ipa:<;unknown_ipa:g;unknown_ipa:e;unknown_ipa:>
2995,224,小毛头,shiau335mhau55deu52,shiau335mhau55deu52,ɕiɒ335<mhau55>dɤ52,shiau335mhau55deu52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
2997,224,肉肉,gnio11gnio11,gnio11gnio11,ȵiɒ11ȵiɒ11,gniau11gniau11,roundtrip_mismatch,ok,ok
3096,228,摸夜游,mhoq3ya55yeu52,mhoq3ya55yeu52,<mhoq3>ɦia55ɦiɤ52,mhoq3ya55yeu52,forward_error;backward_error,unknown_final:hoq:mhoq,unknown_ipa:<;unknown_ipa:q;unknown_ipa:>
